category,word,sentence
visual,see,I see water.
visual,see,What do you see?
visual,see,I will see you tommorow.
visual,see,See the tree there?
visual,see,We see with our eyes.
visual,see,I see what you mean.
visual,see,Maybe he should see a doctor.
visual,see,He can't see anything.
visual,see,"Now, let's see how goes."
visual,see,I want to see my family.
visual,see,Do you want to see it?
visual,see,I don't see why it matters.
visual,see,"Will we see any dolphins, Dad?"
visual,see,"It was very dark there, and he could not see anything."
visual,see,She wanted to see him happy.
visual,see,see how easy it is for a jury to be mistaken
visual,see,See you at lunch.
visual,see,You're just too stubborn to see it.
visual,see,I see no point in talking to him.
visual,see,Wait until you see what Nina has sewn for you.
visual,look,Do I look that bad?
visual,look,Now look what you started.
visual,look,Let's look at how this happened.
visual,look,Let's go look at the horses.
visual,look,Let's look at that.
visual,look,I would have so much to look at!
visual,look,Not once did he look in their direction.
visual,look,Do I look like the wisest of the wise?
visual,look,It had a quiet look of quality that was soothing.
visual,look,You look cute like that.
visual,look,Don't look at me with such surprise.
visual,look,"'ll look at them here, said he."
visual,look,Look what you've done to the poor girl.
visual,look,Look at the stars.
visual,look,The shadow made her long legs look short.
visual,look,Let's look at another hypothetical situation.
visual,look,You look really tired.
visual,look,"At her anxious look, he smiled."
visual,look,Let's look at a few.
visual,look,Let's look at a real-life example.
visual,bright,He has such a bright smile.
visual,bright,The stars are really bright today.
visual,bright,It was bright daylight when she woke.
visual,bright,He's a bright kid.
visual,bright,Fury turned her face bright red.
visual,bright,Look at the bright side.
visual,bright,"Outside all was bright, fresh, dewy, and cheerful."
visual,bright,His large eyes were bright and snappy.
visual,bright,His bright gaze mocked her.
visual,bright,The bright blue eyes regarded her thoughtfully.
visual,bright,He tried to talk and coughed bright red foam.
visual,bright,Can you close the drapes? Its so bright.
visual,bright,Everything grew bright and glittered.
visual,bright,The boom of thunder and a bright glare made her eyes open.
visual,bright,"He felt young, bright, adroit, and resolute."
visual,bright,Did he really think she was bright?
visual,bright,"She appeared healthy, and her blue eyes were bright."
visual,bright,"It was open and airy, bright and cheerful."
visual,bright,She turned bright red.
visual,bright,We came bright and early.
visual,clear,I think you made it clear last night.
visual,clear,It was clear and frosty.
visual,clear,See you when the roads clear up
visual,clear,I was very clear.
visual,clear,Her skin is so clear.
visual,clear,"To be clear, I was not there."
visual,clear,His voice was as clear.
visual,clear,A little fresh air might clear some of the cobwebs.
visual,clear,She had made her intentions clear from the beginning.
visual,clear,"I want to clear the air, though."
visual,clear,All clear.
visual,clear,"Clear the people, wipe out the town."
visual,clear,The creek was clear and swift.
visual,clear,The rules were clear.
visual,clear,Only this time the path remained clear.
visual,clear,You are in the clear this time.
visual,clear,She was clear to ener her country.
visual,clear,They cleared up the streets.
visual,clear,"The polixe had made it clear, no crime will be tolerated."
visual,clear,The day is bright and clear.
visual,picture,It was a picture taken at the party
visual,picture,I saw his picture on your refrigerator.
visual,picture,"He turned the picture this way and that, and looked at it from every side."
visual,picture,She looked at the picture for a long time.
visual,picture,A picture of the baby!
visual,picture,Picture yourself in a men's clothing store.
visual,picture,"It was a picture of a mill, near a beautiful brook."
visual,picture,He could picture the scene.
visual,picture,I still have her picture in my wallet.
visual,picture,A picture is worth a 1000 words.
visual,picture,I can picture both of you together.
visual,picture,A picture is all it takes to relive all our memories.
visual,picture,She reached out and took the picture from his hand.
visual,picture,He shouldn't have to draw a picture for her.
visual,picture,His words painted a clear picture
visual,picture,It's the picture from the museum
visual,picture,It gives me the shivers just to picture it!
visual,picture,She studied the picture more closely.
visual,picture,He stared at the picture.
visual,picture,She looked back at the picture.
visual,foggy,It was foggy and chilly.
visual,foggy,The weather is really foggy.
visual,foggy,I hate it when my glasses get foggy.
visual,foggy,I cannot think straight. My thoughts are very foggy.
visual,foggy,The night was foggy and through the fog the moonlight gleamed mysteriously.
visual,foggy,"Damian appeared, a fragmented vision, as if the vamp had been peering through a foggy window."
visual,foggy,"Whenever Andre tried his shit, her head felt foggy, and right now, she was foggy."
visual,foggy,"This accounts for the great range of submarine sound signals, which can thus be very serviceable to navigation in foggy weather."
visual,foggy,Many different patterns of foggy and clear days could produce the same numerical values for the transition probabilities in the example.
visual,foggy,"Having said this, we should note that the notion of performative utterance is somewhat foggy."
visual,foggy,"We have had awful foggy weather, no sun for days at a time."
visual,foggy,"Autumn starts out warm but begins to become cooler, wetter, and foggier."
visual,foggy,"Oh, yes; the speed is excessive very often in clear as well as in foggy weather."
visual,foggy,The plane's commander had received an inadequate weather warning and tried to land in foggy conditions.
visual,foggy,I had an instance of that one foggy morning.
visual,foggy,In foggy conditions caps are placed on the line.
visual,foggy,The result is that in foggy weather it is easy for motorists to get along.
visual,foggy,There is nothing foggy or involved in that issue and much depends on the answer.
visual,foggy,The weather can be cold and foggy; the children get tired and the baby's nappies get wet.
visual,view,You have a nice view from your apartment.
visual,view,Deities view the world differently
visual,view,"They were in plain view, where they rested."
visual,view,Your view of life is a regrettable delusion.
visual,view,It was a closer view of my native town.
visual,view,There's a great view up here but it's hazy.
visual,view,Her car was in full view.
visual,view,She gasped at the view.
visual,view,We should move forward for a better view
visual,view,Isn't this an awesome view?
visual,view,You view is what you are.
visual,view,How you view the world determines your thought process.
visual,view,Careful study of the text will not support this view.
visual,view,You can view and copy the source of this page
visual,view,My views are very different from yours.
visual,view,Bring some good views to the table or don't come at all.
visual,view,These are my views. Tell me yours.
visual,view,Be tolerant of the views of others.
visual,view,I do not comply with your narrow minded views.
visual,view,I do not want to impress you with my views.
visual,clear,I think you made it clear last night.
visual,clear,It was clear and frosty.
visual,clear,See you when the roads clear up.
visual,clear,Then another light flashed clear and bright by the side of the first one.
visual,clear,"Now was the time to clear the air, and there was one thing about all this that didn't make sense."
visual,clear,"She let the conversation drop that night, but early the next morning Dulce caught him in the hallway and it was clear that she didn't think anything was settled."
visual,clear,"She ignored him, until it was clear he wasn't going anywhere."
visual,clear,"Another voice, from a man of medium height with clear blue eyes, particularly striking among all these drunken voices by its sober ring, cried from the window: ""Come here; part the bets!"""
visual,clear,Darian had also been clear about the type of relationships Dusty preferred.
visual,clear,The day was clear and frosty.
visual,clear,His voice was as clear in her mind as if he spoke the words.
visual,clear,"His voice was clear and strong, and all knew that he, at least, was not afraid."
visual,clear,"I want to clear the air, though."
visual,clear,She breathed deeply of the clear air and listened to the sound of the creek darting over rocks - swirling against its banks.
visual,clear,She has a soft and clear voice.
visual,clear,Could you please clear the table?
visual,clear,You've been cleared of all charges.
visual,clear,I have a few things I want to make clear.
visual,clear,It looks like it's going to clear up soon.
visual,clear,I have lots of work to clear up by the weekend.
visual,focused,She focused on the chart he held up to the light
visual,focused,She focused on her food and banged her fork against her plate.
visual,focused,Just stay focused.
visual,focused,I can't focus on two things at the same time.
visual,focused,You need to stay focused.
visual,focused,Alain focused all his attention on his cat.
visual,focused,Today we're going to focus on the question of homeless people.
visual,focused,This chapter will focus on the concepts of geometry.
visual,focused,I need you to focus and listen to me.
visual,focused,The picture of the tower was out of focus.
visual,focused,Carmen focused on Lori.
visual,focused,"She stared up at Bordeaux, whose attention was focused on the rock above them."
visual,focused,It seemed as if the very light of the candles was focused on those two happy faces alone.
